date,close,open,max,min,volume,return,comments,sentiment_sum,positive,negative
2023-12-13,260.45,257.6,261.39,256.5,29840000,1.11,81.0,-11.514276052359492,30,51
2023-12-12,257.6,256.79,262.88,255.05,63930000,0.28,158.0,-23.339696573559195,61,97
2023-12-11,256.89,265.17,266.47,254.81,77670000,-3.12,380.0,-68.46132935304195,140,240
2023-12-08,265.16,266.0,268.23,263.72,35360000,0.02,70.0,-11.979989640414715,24,46
2023-12-07,265.12,267.62,270.44,263.06,63560000,-0.92,164.0,-20.47537254076451,66,98
2023-12-06,267.58,279.92,280.79,266.83,100020000,-4.31,421.0,-66.5406882907264,171,250
2023-12-05,279.62,271.98,279.65,270.54,46890000,3.2,44.0,-5.116064216941595,19,25
2023-12-04,270.96,273.6,274.95,270.52,37700000,-1.1,120.0,-6.693462482653558,55,65
2023-12-01,273.97,277.0,277.98,273.55,31660000,-1.27,167.0,-28.069680055137724,67,100
2023-11-30,277.5,276.7,278.65,272.75,55870000,0.25,218.0,-14.4393597766757,99,119
2023-11-29,276.8,279.36,280.56,276.2,29820000,-1.11,157.0,-24.37030980736017,66,91
2023-11-28,279.91,282.4,282.51,277.32,45510000,-0.86,192.0,-22.55413419753313,77,115
2023-11-27,282.33,287.4,289.0,278.88,79150000,-1.58,221.0,-18.96655465522781,103,118
2023-11-24,286.85,286.49,287.5,285.11,26070000,0.23,91.0,-16.63887993246317,31,60
2023-11-23,286.19,286.16,287.77,285.04,27720000,0.01,110.0,-19.287893565371636,39,71
2023-11-22,286.16,283.12,286.67,282.85,47300000,1.19,151.0,-10.401729055680336,65,86
2023-11-21,282.79,282.3,283.82,281.66,19100000,-0.04,50.0,-0.0537277748808266,23,27
2023-11-20,282.91,281.96,284.2,281.61,25290000,0.47,79.0,-4.601174371317029,38,41
2023-11-17,281.6,279.7,282.5,278.66,31320000,0.68,92.0,-16.039631593506783,35,57
2023-11-16,279.7,282.4,283.69,279.56,24700000,-1.13,121.0,-18.96388526353985,50,71
2023-11-15,282.89,280.87,283.93,278.51,41840000,0.72,85.0,-21.484543562866747,28,57
2023-11-14,280.87,283.7,283.88,280.54,40480000,-1.09,104.0,-9.900185100734234,43,61
2023-11-13,283.97,280.4,284.8,280.32,45890000,1.35,144.0,-9.983476223889738,63,81
2023-11-10,280.19,276.99,281.3,276.6,44640000,1.28,90.0,-4.544898531399667,41,49
2023-11-09,276.65,278.6,278.85,276.02,28430000,-0.54,97.0,-21.018235130235556,37,60
2023-11-08,278.15,273.64,278.35,273.28,58030000,1.77,181.0,-23.155933221802115,77,104
2023-11-07,273.31,273.01,274.78,272.2,32280000,-0.04,93.0,-11.201778146903962,37,56
2023-11-06,273.42,269.0,273.87,268.62,29270000,1.82,60.0,-3.989830093458295,26,34
2023-11-03,268.54,269.07,269.78,267.2,20980000,-0.19,78.0,-2.5533546963706613,41,37
2023-11-02,269.06,270.0,270.98,268.5,25750000,-0.23,117.0,-19.66257166862488,39,78
2023-11-01,269.68,268.29,270.3,267.6,20610000,0.5,86.0,-6.8801706582307816,38,48
2023-10-31,268.35,270.0,270.5,266.87,26210000,-0.57,105.0,-14.35125382244587,43,62
2023-10-30,269.89,269.9,271.55,268.6,33350000,0.07,77.0,-15.47059652581811,26,51
2023-10-27,269.7,269.93,271.98,266.8,49780000,-0.07,174.0,-22.79942963924259,74,100
2023-10-26,269.9,274.11,276.0,269.12,59500000,-1.4,136.0,-19.27669069170952,48,88
2023-10-25,273.73,271.5,274.96,270.53,41830000,0.91,109.0,-14.326322443783283,43,66
2023-10-24,271.27,270.0,272.06,268.62,28030000,0.43,94.0,-11.887527676299214,39,55
2023-10-23,270.1,270.45,274.1,269.65,62430000,0.11,91.0,-9.390836017206311,40,51
2023-10-20,269.8,268.5,270.3,266.5,32880000,0.43,98.0,-6.591946803033352,45,53
2023-10-19,268.65,267.13,271.0,266.28,33530000,0.28,102.0,-13.532800131244583,37,65
2023-10-18,267.9,270.0,271.19,266.11,40380000,-0.78,124.0,-30.01733265630901,40,84
2023-10-17,270.0,268.3,271.97,266.91,51210000,0.69,165.0,1.4300518985837698,88,77
2023-10-16,268.15,264.0,269.2,263.51,53720000,1.76,137.0,-13.679942794144154,56,81
2023-10-13,263.51,264.89,265.04,262.7,18410000,-0.37,74.0,-6.794879294931889,32,42
2023-10-12,264.5,260.0,264.5,259.66,27550000,1.65,124.0,-14.866865925490856,50,74
2023-10-11,260.21,263.3,263.99,259.5,29500000,-1.06,145.0,-24.92325288243592,51,94
2023-10-10,263.0,264.89,265.18,257.0,34000000,-0.85,145.0,-18.114368432201445,64,81
2023-10-09,265.25,263.0,265.97,263.0,45450000,0.88,137.0,-11.796425951644778,57,80
2023-10-06,262.93,259.77,263.4,257.86,32000000,1.37,123.0,-6.05979693075642,59,64
2023-10-05,259.38,260.7,261.39,258.26,23500000,-0.06,129.0,-33.47349466942251,41,88
2023-10-04,259.53,259.0,260.39,258.24,18570000,-0.05,134.0,-31.510119107551876,45,89
2023-10-03,259.65,258.99,260.5,257.23,23910000,0.26,99.0,-20.195901254191995,36,63
2023-10-02,258.98,261.37,261.92,257.03,35570000,-0.67,93.0,-20.567841882351782,33,60
2023-09-29,260.72,258.0,262.59,256.71,68530000,1.18,182.0,-41.84732492174953,57,125
2023-09-28,257.67,256.4,258.25,255.5,26330000,0.61,132.0,-22.35543749574572,50,82
2023-09-27,256.1,256.2,257.85,254.63,27880000,0.09,111.0,-8.456609678454697,49,62
2023-09-26,255.87,252.13,257.17,250.9,42960000,1.27,156.0,-16.800019631162286,64,92
2023-09-25,252.65,252.0,253.49,249.83,31860000,0.26,113.0,-21.86950584407896,39,74
2023-09-22,251.99,249.85,253.1,248.62,40710000,0.73,152.0,-29.47256609238684,57,95
2023-09-21,250.16,252.87,254.2,249.81,58910000,-1.42,167.0,-34.17442349717021,59,108
